iter	Passed	Remaining
0	15	6257
1	32	6418
2	48	6387
3	64	6348
4	81	6424
5	98	6450
6	115	6471
7	132	6513
8	150	6555
9	168	6577
10	186	6612
11	204	6618
12	222	6633
13	241	6645
14	258	6641
15	276	6630
16	296	6672
17	314	6667
18	333	6688
19	352	6697
20	370	6679
21	387	6661
22	407	6681
23	424	6656
24	443	6645
25	461	6638
26	478	6616
27	497	6606
28	514	6576
29	532	6567
30	548	6527
31	565	6507
32	583	6494
33	602	6481
34	620	6473
35	638	6451
36	658	6461
37	677	6450
38	695	6440
39	715	6437
40	733	6423
41	753	6424
42	771	6407
43	789	6388
44	811	6398
45	829	6384
46	847	6364
47	865	6347
48	883	6331
49	902	6320
50	922	6310
51	940	6293
52	959	6284
53	978	6269
54	995	6243
55	1014	6229
56	1030	6203
57	1047	6179
58	1067	6168
59	1086	6158
60	1103	6133
61	1122	6120
62	1139	6096
63	1156	6072
64	1175	6056
65	1191	6029
66	1210	6015
67	1228	5998
68	1246	5981
69	1265	5964
70	1284	5951
71	1303	5939
72	1322	5923
73	1340	5907
74	1360	5895
75	1379	5879
76	1398	5867
77	1415	5844
78	1433	5822
79	1451	5804
80	1469	5786
81	1488	5771
82	1505	5749
83	1524	5734
84	1541	5711
85	1559	5692
86	1576	5673
87	1595	5657
88	1612	5635
89	1629	5612
90	1648	5597
91	1666	5579
92	1683	5558
93	1702	5541
94	1720	5525
95	1736	5498
96	1754	5481
97	1770	5457
98	1788	5437
99	1808	5424
100	1825	5403
101	1842	5384
102	1860	5366
103	1879	5348
104	1896	5329
105	1914	5309
106	1930	5285
107	1947	5266
108	1964	5244
109	1983	5228
110	2001	5211
111	2017	5188
112	2036	5172
113	2055	5157
114	2073	5139
115	2092	5122
116	2110	5105
117	2127	5085
118	2143	5062
119	2162	5045
120	2179	5026
121	2196	5005
122	2212	4983
123	2231	4966
124	2248	4946
125	2266	4928
126	2283	4909
127	2302	4892
128	2319	4871
129	2334	4849
130	2351	4827
131	2368	4809
132	2388	4794
133	2404	4772
134	2420	4750
135	2436	4729
136	2454	4712
137	2471	4691
138	2487	4670
139	2504	4650
140	2521	4631
141	2538	4612
142	2556	4594
143	2573	4574
144	2590	4555
145	2606	4534
146	2622	4513
147	2638	4491
148	2655	4473
149	2671	4453
150	2689	4434
151	2707	4416
152	2725	4399
153	2743	4382
154	2761	4364
155	2778	4346
156	2800	4334
157	2818	4316
158	2833	4295
159	2849	4274
160	2865	4253
161	2883	4236
162	2901	4218
163	2918	4199
164	2935	4180
165	2953	4163
166	2969	4143
167	2986	4123
168	3004	4106
169	3020	4086
170	3037	4067
171	3054	4049
172	3071	4030
173	3087	4010
174	3104	3992
175	3120	3971
176	3138	3954
177	3156	3936
178	3175	3920
179	3193	3903
180	3212	3886
181	3228	3866
182	3247	3850
183	3264	3832
184	3280	3812
185	3297	3793
186	3315	3776
187	3331	3756
188	3349	3738
189	3367	3721
190	3384	3703
191	3402	3685
192	3420	3668
193	3437	3650
194	3457	3634
195	3472	3614
196	3488	3595
197	3505	3576
198	3523	3558
199	3539	3539
200	3557	3521
201	3573	3502
202	3591	3485
203	3610	3468
204	3629	3452
205	3648	3436
206	3664	3416
207	3682	3399
208	3698	3380
209	3716	3362
210	3734	3345
211	3751	3327
212	3770	3310
213	3785	3290
214	3805	3274
215	3823	3256
216	3842	3240
217	3859	3222
218	3879	3205
219	3895	3186
220	3912	3168
221	3928	3150
222	3945	3131
223	3962	3113
224	3979	3094
225	3995	3075
226	4012	3057
227	4029	3039
228	4046	3021
229	4063	3003
230	4079	2984
231	4095	2965
232	4112	2947
233	4130	2929
234	4147	2911
235	4164	2894
236	4180	2875
237	4197	2857
238	4214	2839
239	4231	2821
240	4248	2803
241	4264	2783
242	4281	2766
243	4299	2748
244	4315	2730
245	4333	2712
246	4351	2695
247	4368	2677
248	4382	2657
249	4399	2639
250	4416	2621
251	4433	2603
252	4451	2586
253	4470	2569
254	4487	2551
255	4505	2534
256	4522	2516
257	4538	2497
258	4556	2480
259	4572	2462
260	4589	2443
261	4605	2425
262	4619	2406
263	4634	2387
264	4652	2369
265	4668	2351
266	4685	2333
267	4702	2315
268	4718	2297
269	4734	2279
270	4751	2261
271	4766	2243
272	4782	2225
273	4799	2206
274	4817	2189
275	4833	2171
276	4849	2153
277	4865	2135
278	4882	2117
279	4897	2098
280	4912	2080
281	4929	2062
282	4945	2044
283	4962	2026
284	4978	2009
285	4993	1990
286	5010	1972
287	5027	1955
288	5043	1937
289	5058	1918
290	5072	1900
291	5087	1881
292	5103	1863
293	5118	1845
294	5135	1827
295	5150	1809
296	5168	1792
297	5187	1775
298	5204	1758
299	5220	1740
300	5237	1722
301	5255	1705
302	5270	1687
303	5286	1669
304	5303	1652
305	5321	1634
306	5338	1617
307	5354	1599
308	5370	1581
309	5386	1563
310	5402	1546
311	5418	1528
312	5434	1510
313	5450	1492
314	5466	1475
315	5481	1457
316	5497	1439
317	5513	1421
318	5528	1403
319	5542	1385
320	5558	1367
321	5574	1350
322	5590	1332
323	5605	1314
324	5621	1297
325	5637	1279
326	5652	1261
327	5668	1244
328	5684	1226
329	5701	1209
330	5717	1191
331	5735	1174
332	5751	1157
333	5768	1139
334	5784	1122
335	5804	1105
336	5821	1088
337	5837	1070
338	5852	1053
339	5868	1035
340	5884	1018
341	5901	1000
342	5917	983
343	5934	966
344	5950	948
345	5966	931
346	5982	913
347	5997	896
348	6013	878
349	6029	861
350	6045	843
351	6060	826
352	6075	808
353	6090	791
354	6106	774
355	6121	756
356	6137	739
357	6153	721
358	6169	704
359	6186	687
360	6201	669
361	6217	652
362	6233	635
363	6249	618
364	6264	600
365	6279	583
366	6295	566
367	6312	548
368	6328	531
369	6345	514
370	6362	497
371	6378	480
372	6395	462
373	6412	445
374	6429	428
375	6445	411
376	6462	394
377	6478	377
378	6494	359
379	6511	342
380	6527	325
381	6542	308
382	6558	291
383	6573	273
384	6589	256
385	6604	239
386	6620	222
387	6635	205
388	6651	188
389	6666	170
390	6682	153
391	6699	136
392	6715	119
393	6730	102
394	6746	85
395	6762	68
396	6778	51
397	6796	34
398	6812	17
399	6829	0
